Pricing_index,Reward,Period_index,product_1_demand,product_2_demand,resouce_1,resouce_2,constraint_0,constraint_1,constraint_2,use_price_index_1,use_price_index_2,use_price_index_3,use_infinite_price,alpha_k-1_n-1,alpha_k-1_n-2,alpha_k-2_n-1,alpha_k-2_n-2,alpha_k-3_n-1,alpha_k-3_n-2,beta_k-1_n-1,beta_k-1_n-2,beta_k-2_n-1,beta_k-2_n-2,beta_k-3_n-1,beta_k-3_n-2,theta_k-1_n-1,theta_k-1_n-2,theta_k-2_n-1,theta_k-2_n-2,theta_k-3_n-1,theta_k-3_n-2
3.0,9.0,15,1.0,1.0,10193.0,10203.0,0.5710113024245325,10.393,7.2046058894344505,0.0,0.0,0.5710113024245325,0.42898869757546754,2.0,1.0,3.0,3.0,6.0,7.0,1.0,2.0,2.0,2.0,3.0,2.0,0.7924661448208208,0.2408789907103561,0.2864841829643887,0.4792550396704265,0.7707226907972987,0.673720282419454
2.0,6.0,16,1.0,0.0,10168.0,10186.0,0.6851827010735903,10.392999999999999,6.811759167913334,0.0,0.6851827010735903,0.0,0.31481729892640975,2.0,1.0,3.0,3.0,7.0,8.0,1.0,2.0,2.0,2.0,3.0,2.0,0.27605224030799475,0.006015516430962763,0.5405751707058145,0.6909240694588938,0.8009806277235827,0.6421064786493822
4.0,0.0,17,0.0,0.0,10154.0,10174.0,0.49528597418109016,10.393,6.7427973139126856,0.0,0.0,0.49528597418109016,0.5047140258189098,2.0,1.0,4.0,3.0,7.0,8.0,1.0,2.0,2.0,3.0,3.0,2.0,0.4914019199220866,0.2355720027483324,0.29302518365722613,0.4383412419068366,0.723132910324043,0.9872705410356538
3.0,9.0,18,1.0,1.0,10154.0,10174.0,0.6897117428821365,10.393000000000002,6.8186447686916285,0.0,0.0,0.6897117428821365,0.31028825711786345,2.0,1.0,4.0,3.0,7.0,8.0,1.0,2.0,2.0,3.0,3.0,2.0,0.7559627373024528,0.8883612086735646,0.6313737631015196,0.3733123066737851,0.538796675974231,0.6841327727694888
4.0,0.0,19,0.0,0.0,10129.0,10157.0,0.5143428804099756,10.393,6.710734096961404,0.0,0.0,0.5143428804099756,0.48565711959002444,2.0,1.0,4.0,3.0,8.0,9.0,1.0,2.0,2.0,3.0,3.0,2.0,0.3063887871130769,0.7481547463248043,0.5488117725985067,0.37288449379534605,0.6852801236516629,0.9647675740134058
3.0,7.0,20,0.0,1.0,10129.0,10157.0,0.6642390710196294,10.393,6.071809468328958,0.0,0.0,0.6642390710196294,0.3357609289803706,2.0,1.0,4.0,3.0,8.0,9.0,1.0,2.0,2.0,3.0,3.0,2.0,0.9594037441191176,0.07547018447341702,0.6648881438770934,0.7747196835809703,0.3599778569440758,0.9642531795074969
3.0,9.0,21,1.0,1.0,10118.0,10152.0,0.6135580167756165,10.393,6.979492594264264,0.0,0.0,0.6135580167756165,0.3864419832243835,2.0,1.0,4.0,3.0,8.0,10.0,1.0,2.0,2.0,3.0,4.0,2.0,0.7673066490507314,0.4941538410079547,0.2921983474622675,0.5240192502601944,0.6521826802760762,0.7098496285913621
3.0,9.0,22,1.0,1.0,10093.0,10135.0,0.6076212411012134,10.393,6.804279653246813,0.0,0.0,0.6076212411012134,0.3923787588987866,2.0,1.0,4.0,3.0,9.0,11.0,1.0,2.0,2.0,3.0,4.0,2.0,0.5896480914814897,0.2459197973045562,0.8549874134031229,0.4874502649574354,0.6073944094877518,0.7818985095948892
3.0,7.0,23,0.0,1.0,10068.0,10118.0,0.500819449837884,10.393,6.78251176329516,0.0,0.0,0.500819449837884,0.49918055016211604,2.0,1.0,4.0,3.0,10.0,12.0,1.0,2.0,2.0,3.0,4.0,2.0,0.9384707630288858,0.2595127887072645,0.8763255267818922,0.5793078192054275,0.7292122940865832,0.9584561321643955
3.0,9.0,24,1.0,1.0,10057.0,10113.0,0.4994656709711095,10.393,6.875319031809992,0.0,0.0,0.4994656709711095,0.5005343290288905,2.0,1.0,4.0,3.0,10.0,13.0,1.0,2.0,2.0,3.0,5.0,2.0,0.7176969625039633,0.8599644785206845,0.7876396880293175,0.6081699198152912,0.7641556323613382,0.9190961851783638
4.0,0.0,25,0.0,0.0,10032.0,10096.0,0.5085331480628026,10.393,6.780389145195565,0.0,0.0,0.5085331480628026,0.4914668519371974,2.0,1.0,4.0,3.0,11.0,14.0,1.0,2.0,2.0,3.0,5.0,2.0,0.35458060922369783,0.6920058388501121,0.8612344604947084,0.7757083337982712,0.7174106698755642,0.9448602819617532
4.0,0.0,26,0.0,0.0,10032.0,10096.0,0.48432361094420706,10.393,6.808859338430986,0.0,0.0,0.48432361094420706,0.5156763890557929,2.0,1.0,4.0,3.0,11.0,14.0,1.0,2.0,2.0,3.0,5.0,2.0,0.5031629529707795,0.0916652322614969,0.7750149634300255,0.6174343448048596,0.7637006773230302,0.9788166623346892
4.0,0.0,27,0.0,0.0,10032.0,10096.0,0.558442418265781,10.393000000000002,6.665494558847685,0.0,0.0,0.558442418265781,0.4415575817342191,2.0,1.0,4.0,3.0,11.0,14.0,1.0,2.0,2.0,3.0,5.0,2.0,0.47434186112859633,0.20064795004922076,0.6155659765578841,0.36522517891864825,0.6167915827221991,0.9068736470466954
3.0,9.0,28,1.0,1.0,10032.0,10096.0,0.6566436859509622,10.393,6.458696373026357,0.0,0.0,0.6566436859509622,0.34335631404903777,2.0,1.0,4.0,3.0,11.0,14.0,1.0,2.0,2.0,3.0,5.0,2.0,0.6053740604301003,0.33660889180729575,0.5252647745960676,0.32251269385331416,0.4686751565507489,0.8423641145007096
3.0,2.0,29,1.0,0.0,10007.0,10079.0,0.6046158539270473,10.393,6.757871206828113,0.0,0.0,0.6046158539270473,0.3953841460729527,2.0,1.0,4.0,3.0,12.0,15.0,1.0,2.0,2.0,3.0,5.0,2.0,0.8752286671180061,0.16876001869920584,0.5932234750335039,0.637780114778997,0.5967954461739128,0.8031173285848038
3.0,9.0,30,1.0,1.0,9993.0,10067.0,0.5604003597737108,10.393,6.815478269206596,0.0,0.0,0.5604003597737108,0.43959964022628917,2.0,1.0,4.0,3.0,13.0,15.0,1.0,2.0,2.0,3.0,5.0,3.0,0.9608612240774261,0.4127547116009264,0.6862956257054592,0.4488657440449034,0.6621205530620786,0.8432710915339255
2.0,6.0,31,1.0,0.0,9968.0,10050.0,0.7161303185486354,10.393,7.640452156350913,0.0,0.7161303185486354,0.0,0.2838696814513646,2.0,1.0,4.0,3.0,14.0,16.0,1.0,2.0,2.0,3.0,5.0,3.0,0.977163430304306,0.1676717022141804,0.7225206328564966,0.3997666200381333,0.8382230031041425,0.7402649632232619
4.0,0.0,32,0.0,0.0,9954.0,10038.0,0.48296349312406117,10.393,6.865353170549456,0.0,0.0,0.48296349312406117,0.5170365068759388,2.0,1.0,5.0,3.0,14.0,16.0,1.0,2.0,2.0,4.0,5.0,3.0,0.8844396734776878,0.8133054550058495,0.587040686937869,0.6497570066191652,0.7866047317801402,0.9551598726471624
2.0,6.0,33,1.0,0.0,9954.0,10038.0,0.6615361313933593,10.393,6.761285893688472,0.0,0.6615361313933593,0.0,0.3384638686066407,2.0,1.0,5.0,3.0,14.0,16.0,1.0,2.0,2.0,4.0,5.0,3.0,0.5438628036110615,0.1141918569073087,0.5463614195745845,0.7328494818287258,0.8275204293540604,0.6156203355299231
2.0,6.0,34,1.0,0.0,9940.0,10026.0,0.6499013137167703,10.393,7.766081029873328,0.0,0.6499013137167703,0.0,0.3500986862832297,2.0,1.0,6.0,3.0,14.0,16.0,1.0,2.0,2.0,5.0,5.0,3.0,0.9792989421629587,0.2483651263140428,0.8304459665858624,0.39685592467535563,0.8218355712205395,0.7593465983928215
4.0,0.0,35,0.0,0.0,9926.0,10014.0,0.6234749566961786,10.393,6.771306553538556,0.0,0.0,0.6234749566961786,0.3765250433038214,2.0,1.0,7.0,3.0,14.0,16.0,1.0,2.0,2.0,6.0,5.0,3.0,0.9259637364298186,0.16372862782936476,0.8874284635850568,0.4993933089902924,0.5825665890067355,0.7739584024610323
4.0,0.0,36,0.0,0.0,9926.0,10014.0,0.7775435506348267,10.393,8.300731691345167,0.0,0.7775435506348267,0.0,0.22245644936517328,2.0,1.0,7.0,3.0,14.0,16.0,1.0,2.0,2.0,6.0,5.0,3.0,0.7628162670310317,0.47682883192454234,0.8161154440278955,0.17643978651914893,0.8021090774561194,0.8509256405996668
2.0,6.0,37,1.0,0.0,9926.0,10014.0,0.6393001008246686,10.393,8.172699718871096,0.0,0.6393001008246686,0.0,0.3606998991753314,2.0,1.0,7.0,3.0,14.0,16.0,1.0,2.0,2.0,6.0,5.0,3.0,0.9380708595447738,0.6000792525446601,0.9570621830546125,0.25981548144049815,0.8298811967407272,0.7287376809441931
4.0,0.0,38,0.0,0.0,9912.0,10002.0,0.8323293618714043,10.393,7.8495853542936755,0.0,0.8323293618714043,0.0,0.16767063812859573,2.0,1.0,8.0,3.0,14.0,16.0,1.0,2.0,2.0,7.0,5.0,3.0,0.986003257224755,0.026125342743439726,0.6662305013162808,0.28721967836578693,0.7203162287430929,0.8250216362690148
2.0,6.0,39,1.0,0.0,9912.0,10002.0,0.7648297132371928,10.393,8.094783120525799,0.0,0.7648297132371928,0.0,0.23517028676280716,2.0,1.0,8.0,3.0,14.0,16.0,1.0,2.0,2.0,7.0,5.0,3.0,0.9112764085954703,0.15843734827361722,0.7819074326773425,0.24017651366775775,0.7368540671727004,0.919187107249919
2.0,9.0,40,1.0,1.0,9898.0,9990.0,0.6226767215816841,10.393,8.05936803541811,0.0,0.6226767215816841,0.0,0.3773232784183159,2.0,1.0,9.0,3.0,14.0,16.0,1.0,2.0,2.0,8.0,5.0,3.0,0.5654799933924951,0.2639927706211296,0.9503209216785398,0.30785009641862693,0.717027426984851,0.9207978396488948
4.0,0.0,41,0.0,0.0,9873.0,9973.0,0.5680707444249655,10.393,7.683402064517723,0.0,0.5680707444249655,0.0,0.4319292555750345,2.0,1.0,10.0,4.0,14.0,16.0,1.0,2.0,2.0,8.0,5.0,3.0,0.5771005536944239,0.12789113073413386,0.9242494550468304,0.48688765141875007,0.7812219985130208,0.8330095398064874
3.0,9.0,42,1.0,1.0,9873.0,9973.0,0.6429065158603825,10.393,6.522557275035477,0.0,0.0,0.6429065158603825,0.3570934841396175,2.0,1.0,10.0,4.0,14.0,16.0,1.0,2.0,2.0,8.0,5.0,3.0,0.8105874021448556,0.6795585761550436,0.857093033810214,0.37472481573016847,0.49631281449680914,0.8379334476928464
2.0,6.0,43,1.0,0.0,9848.0,9956.0,0.7090431820699182,10.393,7.168846830176614,0.0,0.7090431820699182,0.0,0.29095681793008177,2.0,1.0,10.0,4.0,15.0,17.0,1.0,2.0,2.0,8.0,5.0,3.0,0.8578441915016565,0.5827189462080373,0.6117356872269726,0.5539528933506522,0.7104803338285076,0.7183102721168998
4.0,0.0,44,0.0,0.0,9834.0,9944.0,0.5881853726140075,10.393,6.501615889308173,0.0,0.0,0.5881853726140075,0.4118146273859925,2.0,1.0,11.0,4.0,15.0,17.0,1.0,2.0,2.0,9.0,5.0,3.0,0.7191182642635208,0.20484741767202874,0.9471195361070335,0.6401336394015775,0.5361699727388405,0.9239290854290848
2.0,6.0,45,1.0,0.0,9834.0,9944.0,0.6617259252031273,10.393000000000002,8.315292185730096,0.0,0.6617259252031273,0.0,0.33827407479687266,2.0,1.0,11.0,4.0,15.0,17.0,1.0,2.0,2.0,9.0,5.0,3.0,0.8727861876800014,0.07730943087148538,0.962858774804224,0.20235230238479218,0.715562304234232,0.8016786479711162
4.0,0.0,46,0.0,0.0,9820.0,9932.0,0.6424236160343776,10.393,8.033212145972685,0.0,0.6424236160343776,0.0,0.3575763839656224,2.0,1.0,12.0,4.0,15.0,17.0,1.0,2.0,2.0,10.0,5.0,3.0,0.6865479275119684,0.1820331503681995,0.9138863209213349,0.3075809363621414,0.64765392313171,0.735774899228106
2.0,0.0,47,0.0,0.0,9820.0,9932.0,0.7176549293978842,10.393,8.153643882044186,0.0,0.7176549293978842,0.0,0.2823450706021158,2.0,1.0,12.0,4.0,15.0,17.0,1.0,2.0,2.0,10.0,5.0,3.0,0.5440420807739376,0.08863703558919618,0.8478574464151699,0.23744419134707023,0.7341197136346892,0.8894030961071356
4.0,0.0,48,0.0,0.0,9820.0,9932.0,0.6114962407339675,10.393,7.641419070447734,0.0,0.6114962407339675,0.0,0.38850375926603253,2.0,1.0,12.0,4.0,15.0,17.0,1.0,2.0,3.0,11.0,5.0,3.0,0.24603906379819077,0.5649083143597463,0.8464328081877869,0.4678142602617499,0.797080864270654,0.8870354039212252
2.0,6.0,49,1.0,0.0,9820.0,9932.0,0.6131079838474065,10.393,7.865628437835751,0.0,0.6131079838474065,0.0,0.3868920161525935,2.0,1.0,12.0,4.0,15.0,17.0,1.0,2.0,3.0,11.0,5.0,3.0,0.34484940350185717,0.28382574730167526,0.9090887351586423,0.3840086021488466,0.7052846206905453,0.8095461737496502
2.0,6.0,50,1.0,0.0,9806.0,9920.0,0.594143447149341,10.393,7.7530202938024,0.0,0.594143447149341,0.0,0.405856552850659,2.0,1.0,13.0,4.0,15.0,17.0,1.0,2.0,3.0,12.0,5.0,3.0,0.8492139579056559,0.4485641175800507,0.904479717593261,0.4390629679112761,0.8683205584743718,0.861230068064815
4.0,0.0,51,0.0,0.0,9792.0,9908.0,0.831949007221599,10.392999999999999,8.605161316828186,0.0,0.831949007221599,0.0,0.16805099277840096,2.0,1.0,14.0,4.0,15.0,17.0,1.0,2.0,3.0,13.0,5.0,3.0,0.634706407897906,0.06826512555846785,0.8276673231739856,0.08227360570544182,0.899396720680981,0.8288784926873799
2.0,9.0,52,1.0,1.0,9792.0,9908.0,0.7278389286251611,10.393,8.24510733793022,0.0,0.7278389286251611,0.0,0.2721610713748389,2.0,1.0,14.0,4.0,15.0,17.0,1.0,2.0,3.0,13.0,5.0,3.0,0.9266163113148479,0.3904966398465807,0.8582894354952652,0.20574601063741985,0.702038721448628,0.8723575825423142
3.0,7.0,53,0.0,1.0,9767.0,9891.0,0.583600930789471,10.393,6.786573432438213,0.0,0.0,0.583600930789471,0.41639906921052905,2.0,1.0,15.0,5.0,15.0,17.0,1.0,2.0,3.0,13.0,5.0,3.0,0.9378659815119714,0.467645733645114,0.8448810160712892,0.3754342026129357,0.6270111978118084,0.8209313872399058
2.0,9.0,54,1.0,1.0,9756.0,9886.0,0.7241490645859662,10.393,8.499097847431013,0.0,0.7241490645859662,0.0,0.2758509354140338,2.0,1.0,15.0,5.0,15.0,18.0,1.0,2.0,3.0,13.0,6.0,3.0,0.7109338763851548,0.14214359401122192,0.9248914736842064,0.12759425479661657,0.8321791861257106,0.9247934450733155
2.0,6.0,55,1.0,0.0,9731.0,9869.0,0.5832669902881956,10.393,7.779670133462829,0.0,0.5832669902881956,0.0,0.4167330097118044,2.0,1.0,16.0,6.0,15.0,18.0,1.0,2.0,3.0,13.0,6.0,3.0,0.7692862893756649,0.4369404025612328,0.9294523840253102,0.43693314345584605,0.8303804319115582,0.9120662187410145
3.0,7.0,56,0.0,1.0,9717.0,9857.0,0.6186556207274446,10.393,6.73336743641148,0.0,0.0,0.6186556207274446,0.3813443792725554,2.0,1.0,17.0,6.0,15.0,18.0,1.0,2.0,3.0,14.0,6.0,3.0,0.9309019073604733,0.43768280568899487,0.7817164235001197,0.23653589198830388,0.5762245314293069,0.7938351522570114
4.0,0.0,57,0.0,0.0,9706.0,9852.0,0.6230464473461989,10.393,6.362019838942692,0.0,0.0,0.6230464473461989,0.37695355265380115,2.0,1.0,17.0,6.0,15.0,19.0,1.0,2.0,3.0,14.0,7.0,3.0,0.9335225756916982,0.5273248075240032,0.8524946066986179,0.25800218226014665,0.46641834688849115,0.9228256811722895
4.0,0.0,58,0.0,0.0,9706.0,9852.0,0.6545926976336244,10.393,7.971038292030762,0.0,0.6545926976336244,0.0,0.3454073023663756,2.0,1.0,17.0,6.0,15.0,19.0,1.0,2.0,3.0,14.0,7.0,3.0,0.9753066198031602,0.633090982521561,0.8800454266583537,0.32331022858611835,0.7042016041569881,0.9222196647910473
4.0,0.0,59,0.0,0.0,9706.0,9852.0,0.6577897337687574,10.393000000000002,8.190751022592439,0.0,0.6577897337687574,0.0,0.3422102662312426,2.0,1.0,17.0,6.0,15.0,19.0,1.0,2.0,3.0,14.0,7.0,3.0,0.4980509844121104,0.011965365919566462,0.9350291882158621,0.24631573635561832,0.8191645580638027,0.6987376821012415
2.0,6.0,60,1.0,0.0,9706.0,9852.0,0.7639346500787376,10.393,8.215004019081151,0.0,0.7639346500787376,0.0,0.23606534992126238,2.0,1.0,17.0,6.0,15.0,19.0,1.0,2.0,3.0,14.0,7.0,3.0,0.9901589574272867,0.3093796265092086,0.8107441542396671,0.2049226063331278,0.6238811965668741,0.8445182953892364
4.0,0.0,61,0.0,0.0,9692.0,9840.0,0.6854883506605156,10.393,8.073019779137933,0.0,0.6854883506605156,0.0,0.3145116493394844,2.0,1.0,18.0,6.0,15.0,19.0,1.0,2.0,3.0,15.0,7.0,3.0,0.9193508306007953,0.5634926265951048,0.8667759254434494,0.27514462760325,0.6941336545632616,0.9237614331832893
2.0,6.0,62,1.0,0.0,9692.0,9840.0,0.6471591466666042,10.393,8.070621938493371,0.0,0.6471591466666042,0.0,0.35284085333339577,2.0,1.0,18.0,6.0,15.0,19.0,1.0,2.0,3.0,15.0,7.0,3.0,0.9829114733215719,0.19847676343059262,0.9174549710724915,0.29227723324411237,0.7528242585035462,0.8915653163685274
4.0,0.0,63,0.0,0.0,9678.0,9828.0,0.8274996348668262,10.393,8.571974710481763,0.0,0.8274996348668262,0.0,0.1725003651331738,2.0,1.0,19.0,6.0,15.0,19.0,1.0,2.0,3.0,16.0,7.0,3.0,0.3142047141418092,0.19152360999253734,0.8250022510849274,0.09177187663601259,0.642260723928284,0.9108408869374192
4.0,0.0,64,0.0,0.0,9678.0,9828.0,0.5479324121590621,10.393,6.782321309865371,0.0,0.0,0.5479324121590621,0.4520675878409379,2.0,1.0,19.0,6.0,15.0,19.0,1.0,2.0,3.0,16.0,7.0,3.0,0.7082431682370005,0.12990175286081654,0.7494894547184703,0.3076737383877026,0.6664506455749084,0.876123528677364
2.0,6.0,65,1.0,0.0,9678.0,9828.0,0.6610059973725109,10.393000000000002,8.05392121065292,0.0,0.6610059973725109,0.0,0.33899400262748913,2.0,1.0,19.0,6.0,15.0,19.0,1.0,2.0,3.0,16.0,7.0,3.0,0.6929609719663041,0.3556424097582288,0.8937533792035853,0.29185970734940275,0.828420499243555,0.8600553579389125
2.0,6.0,66,1.0,0.0,9664.0,9816.0,0.6875294941907415,10.393,8.22443099893954,0.0,0.6875294941907415,0.0,0.3124705058092585,2.0,1.0,20.0,6.0,15.0,19.0,1.0,2.0,3.0,17.0,7.0,3.0,0.5684916056260964,0.03236416280468275,0.9032748205049707,0.2245995379046693,0.8195788791432632,0.9655723762096857
3.0,7.0,67,0.0,1.0,9650.0,9804.0,0.6525499415993703,10.393,6.467096624273426,0.0,0.0,0.6525499415993703,0.3474500584006297,2.0,1.0,21.0,6.0,15.0,19.0,1.0,2.0,3.0,18.0,7.0,3.0,0.8994109796053089,0.6396289788492211,0.7426352512804665,0.2879163515333746,0.4738992830340698,0.8447418519121347
2.0,6.0,68,1.0,0.0,9639.0,9799.0,0.6857837234351933,10.393,8.229065299968449,0.0,0.6857837234351933,0.0,0.31421627656480666,2.0,1.0,21.0,6.0,15.0,20.0,1.0,2.0,3.0,18.0,8.0,3.0,0.6055720375372066,0.5416089453583584,0.906773190884075,0.22364536570183235,0.7837796299777674,0.9075911361039222
4.0,0.0,69,0.0,0.0,9625.0,9787.0,0.6403548651832596,10.393,8.248438399515335,0.0,0.6403548651832596,0.0,0.35964513481674043,2.0,1.0,22.0,6.0,15.0,20.0,1.0,2.0,3.0,19.0,8.0,3.0,0.16067723019464356,0.04063059468015696,0.9764702229592326,0.2326800167465917,0.7112346731941833,0.9421409839603977
4.0,0.0,70,0.0,0.0,9625.0,9787.0,0.5823360768735992,10.393,6.5586932320282845,0.0,0.0,0.5823360768735992,0.41766392312640077,2.0,1.0,22.0,6.0,15.0,20.0,1.0,2.0,3.0,19.0,8.0,3.0,0.5725582544870809,0.3027844915880018,0.7659915285268142,0.32231813270988013,0.5589452095577415,0.9110772322458476
4.0,0.0,71,0.0,0.0,9625.0,9787.0,0.5696220670022996,10.393,6.710645580071247,0.0,0.0,0.5696220670022996,0.43037793299770044,2.0,1.0,22.0,6.0,15.0,20.0,1.0,2.0,3.0,19.0,8.0,3.0,0.6291183812818335,0.1994611858184935,0.7912419447544351,0.2614967942756099,0.6187492874564736,0.8711764332456422
4.0,0.0,72,0.0,0.0,9625.0,9787.0,0.5804502500933487,10.393,6.628697036755879,0.0,0.0,0.5804502500933487,0.4195497499066513,2.0,1.0,22.0,6.0,15.0,20.0,1.0,2.0,3.0,19.0,8.0,3.0,0.15377274641859862,0.5306506370574384,0.7941459341038736,0.2635890975407462,0.5821584026156044,0.8868043907762656
2.0,6.0,73,1.0,0.0,9625.0,9787.0,0.6954261860438172,10.393,8.05385475577041,0.0,0.6954261860438172,0.0,0.30457381395618277,2.0,1.0,22.0,6.0,15.0,20.0,1.0,2.0,3.0,19.0,8.0,3.0,0.8610260034033073,0.6172758019506058,0.8495000120773628,0.2774356599772853,0.5836662723955393,0.740242799012008
2.0,6.0,74,1.0,0.0,9611.0,9775.0,0.7524253475615236,10.393,8.33630057871323,0.0,0.7524253475615236,0.0,0.24757465243847643,2.0,1.0,23.0,6.0,15.0,20.0,1.0,2.0,3.0,20.0,8.0,3.0,0.978024836284541,0.6780933994411348,0.8517468360196867,0.17165547952036161,0.6783690596065102,0.8089974390986892
4.0,0.0,75,0.0,0.0,9597.0,9763.0,0.7169633763253335,10.393,8.030206121931704,0.0,0.7169633763253335,0.0,0.28303662367466653,2.0,1.0,24.0,6.0,15.0,20.0,1.0,2.0,3.0,21.0,8.0,3.0,0.7985297468011127,0.6939809670469984,0.8181294156069868,0.27654974233048224,0.8345276791889881,0.82959829766562
3.0,0.0,76,0.0,0.0,9597.0,9763.0,0.5757394670445356,10.393,6.619894055118641,0.0,0.0,0.5757394670445356,0.4242605329554644,2.0,1.0,24.0,6.0,15.0,20.0,1.0,2.0,3.0,21.0,8.0,3.0,0.881793614509323,0.1383459705344026,0.8399234639793202,0.25778241386380585,0.584208987436705,0.8975129030317281
